ID,ElevationIV,SLPangleIV,ProflieCVTIV,RoadDISTIV,LINEDISTIV,RSMTIV,LanduseIV,TopographyIV,NDVIIV,Class
315935,0.254,0.0856,0.0367,0.0032,0.1484,0.0417,0.3193,0.2153,0.006,landslide
317027,0.254,0.0856,0.0682,0.4077,0.1484,0.000932773,0.3193,0.2153,0.1678,landslide
320846,0.254,0.0002,0.0367,0.2612,0.009,0.2263,0.3193,0.095,0.1678,landslide
320326,0.254,0.0002,0.0682,0.1801,0.1484,0.000932773,0.1381,0.2153,0.2815,landslide
320890,0.3338,0.0543,0.0367,0.4077,0.1484,0.0417,0.1381,0.2153,0.2815,landslide
320913,0.3338,0.0002,0.0367,0.0362,0.009,0.0417,0.3149,0.2153,0.1678,landslide
322499,0.254,0.0543,0.0367,0.0362,0.009,0.2263,0.3193,0.095,0.2815,landslide
323106,0.3338,0.0002,0.0367,0.1801,0.1484,0.1029,0.1381,0.2153,0.2815,landslide
323670,0.254,0.0543,0.0367,0.0032,0.009,0.0417,0.2328,0.2153,0.2815,landslide
327241,0.254,0.0543,0.0682,0.0362,0.009,0.0174,0.3149,0.095,0.1678,landslide
328042,0.3338,0.0543,0.0367,0.4077,0.1484,0.0174,0.1381,0.2153,0.2815,landslide
329138,0.3338,0.0002,0.0367,0.4077,0.1484,0.0417,0.3193,0.2153,0.1678,landslide
330237,0.3338,0.0002,0.0367,0.4077,0.1484,0.0174,0.1381,0.2153,0.2815,landslide
330762,0.254,0.0856,0.0367,0.0362,0.1484,0.000932773,0.3149,0.2153,0.5389,landslide
331908,0.254,0.0856,0.0367,0.4077,0.009,0.0417,0.3193,0.2153,0.2815,landslide
332404,0.254,0.0002,0.0367,0.0032,0.1484,0.000932773,0.3193,0.2153,0.006,landslide
332436,0.3338,0.0856,0.0367,0.1801,0.1484,0.0174,0.3193,0.2153,0.1678,landslide
332453,0.254,0.0002,0.0682,0.1801,0.009,0.0417,0.3193,0.2153,0.2815,landslide
332987,0.254,0.0856,0.0367,0.0032,0.1484,0.0417,0.3149,0.2153,0.1678,landslide
336840,0.254,0.0002,0.0367,0.1801,0.009,0.0417,0.3149,0.2153,0.2815,landslide
334358,0.254,0.0543,0.0367,0.0032,0.1484,0.0174,0.3149,0.095,0.1678,landslide
